Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HF,AF,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365_over_2.5,B365_under_2.5,P_over_2.5,P_under_2.5,Max_over_2.5,Max_under_2.5,Avg_over_2.5,Avg_under_2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C_over_2.5,B365C_under_2.5,PC_over_2.5,PC_under_2.5,MaxC_over_2.5,MaxC_under_2.5,AvgC_over_2.5,AvgC_under_2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,Season,League,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx_over_2.5,BbAv_over_2.5,BbMx_under_2.5,BbAv_under_2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,prob_home,prob_draw,prob_away,home_odds,draw_odds,away_odds,value_home,value_draw,value_away,max_value
D1,17/09/2022,14:30,Augsburg,Bayern Munich,1,0,H,0,0,D,,16,9,17.0,8.0,1.16,15.5,8.75,1.15,12.0,7.75,1.2,14.69,9.0,1.18,15.0,8.0,1.15,15.0,9.0,1.13,19.0,9.3,1.2,15.37,8.69,1.16,1.28,3.75,,,1.29,4.0,1.27,3.81,2.25,2.01,1.89,2.04,1.88,2.04,1.91,1.99,1.86,15.0,7.5,1.18,13.5,8.5,1.17,13.0,7.75,1.2,15.0,9.25,1.17,15.0,7.5,1.17,13.0,8.5,1.15,15.5,9.27,1.2,14.05,8.49,1.17,1.22,4.33,,,1.25,4.6,1.22,4.2,2.25,2.0,1.9,2.01,1.9,2.14,1.95,1.97,1.88,2223,D1,,,,,,,,,,,,,,,,,,,0.6981402,0.062195357,0.23966439,17.0,8.0,1.16,11.8683834,0.497562856,0.2780106924,11.8683834
SP1,29/04/2021,18:00,Barcelona,Granada,1,2,A,1,0,H,,10,22,1.14,8.0,17.0,1.15,9.0,14.5,1.15,8.0,18.0,1.16,8.78,19.0,1.15,8.0,17.0,1.13,8.5,17.0,1.18,9.5,21.53,1.15,8.44,16.88,1.36,3.2,1.36,3.31,1.39,3.31,1.35,3.18,-2.25,2.0,1.93,2.01,1.89,2.01,1.95,1.96,1.9,1.1,10.0,21.0,1.11,9.5,21.0,1.15,8.5,17.0,1.14,9.86,19.55,1.12,8.5,21.0,1.13,9.0,22.0,1.16,11.3,23.0,1.13,9.4,18.76,1.28,3.75,1.31,3.64,1.32,4.03,1.28,3.68,-2.25,1.85,2.08,1.9,2.0,1.91,2.24,1.83,2.05,2021,SP1,,,,,,,,,,,,,,,,,,,0.25369197,0.14910595,0.59720206,1.14,8.0,17.0,0.2892088457999999,1.1928476,10.15243502,10.15243502
D1,19/11/2021,19:30,Augsburg,Bayern Munich,2,1,H,2,1,H,,18,9,15.0,8.0,1.16,16.0,8.0,1.17,11.0,6.5,1.25,15.42,7.65,1.2,15.0,7.5,1.17,12.0,7.5,1.2,17.0,8.2,1.25,14.62,7.65,1.19,1.3,3.5,1.34,3.39,1.35,3.7,1.31,3.43,2.25,1.83,2.07,1.84,2.08,1.91,2.09,1.83,2.05,15.0,8.0,1.16,13.0,7.25,1.2,11.0,6.5,1.25,13.46,7.74,1.21,15.0,7.5,1.16,12.0,7.5,1.2,17.0,8.96,1.25,13.78,7.62,1.19,1.28,3.75,1.34,3.39,1.33,3.84,1.29,3.59,2.25,1.86,2.04,1.82,2.09,2.01,2.14,1.84,2.04,2122,D1,,,,,,,,,,,,,,,,,,,0.6674533,0.07615193,0.25639477,15.0,8.0,1.16,10.0117995,0.60921544,0.2974179332,10.0117995
SP1,16/07/2020,20:00,Barcelona,Osasuna,1,2,A,0,1,A,,7,14,1.14,8.0,17.0,1.14,8.5,17.0,1.17,7.4,16.0,1.15,8.28,19.76,1.14,8.0,19.0,1.14,8.0,17.0,1.18,8.75,23.0,1.15,8.0,17.44,1.44,2.75,1.44,2.91,1.49,2.91,1.44,2.76,-2.0,1.85,2.05,1.87,2.03,1.9,2.1,1.83,2.03,1.12,9.0,17.0,1.16,9.0,13.0,1.15,8.0,17.0,1.14,9.07,18.34,1.14,9.0,15.0,1.15,8.0,15.0,1.19,10.1,22.0,1.15,8.35,16.77,1.36,3.2,1.33,3.47,1.45,3.66,1.35,3.15,-2.0,1.86,2.07,1.75,2.17,1.89,2.2,1.8,2.09,1920,SP1,,,,,,,,,,,,,,,,,,,0.33500835,0.13021271,0.53477895,1.14,8.0,17.0,0.381909519,1.04170168,9.09124215,9.09124215
E0,21/01/2021,20:00,Liverpool,Burnley,0,1,A,0,0,D,M Dean,11,8,1.18,7.5,15.0,1.17,7.5,15.5,1.21,6.6,13.5,1.21,7.24,15.81,1.18,7.0,17.0,1.18,7.0,17.0,1.23,8.0,17.75,1.2,7.05,14.89,1.53,2.5,1.53,2.64,1.56,2.65,1.52,2.53,-2.0,2.05,1.85,2.06,1.85,2.11,1.89,2.03,1.84,1.28,6.0,10.0,1.3,5.75,9.5,1.3,6.0,9.0,1.35,5.34,9.48,1.32,5.25,9.5,1.33,5.0,10.0,1.37,6.08,11.0,1.33,5.49,9.57,1.72,2.1,1.72,2.22,1.77,2.3,1.7,2.19,-1.25,1.83,2.1,1.86,2.07,1.86,2.27,1.78,2.13,2021,E0,,,,,,,,,,,,,,,,,,,0.2968415,0.1411581,0.5620004,1.18,7.5,15.0,0.3502729699999999,1.05868575,8.430005999999999,8.430005999999999
I1,06/01/2021,17:00,Napoli,Spezia,1,2,A,0,0,D,,9,16,1.2,7.0,15.0,1.2,7.0,13.5,1.2,6.9,14.0,1.21,7.34,14.42,1.2,6.5,15.0,1.15,7.5,18.0,1.23,7.5,18.0,1.2,7.02,14.13,1.44,2.75,1.47,2.78,1.5,2.85,1.46,2.69,-2.0,2.03,1.87,2.04,1.87,2.06,1.94,1.97,1.87,1.28,6.0,9.5,1.28,6.0,9.5,1.3,5.8,9.0,1.28,6.36,11.2,1.29,5.8,10.0,1.29,5.5,10.5,1.32,6.5,11.33,1.29,5.9,9.76,1.53,2.5,1.51,2.69,1.55,2.74,1.49,2.58,-1.5,1.87,2.06,1.86,2.08,1.92,2.08,1.84,2.01,2021,I1,,,,,,,,,,,,,,,,,,,0.34764385,0.10796961,0.54438657,1.2,7.0,15.0,0.4171726199999999,0.7557872699999999,8.16579855,8.16579855
SP1,18/04/2022,20:00,Barcelona,Cadiz,0,1,A,0,0,D,,16,9,1.2,6.5,15.0,1.21,6.75,14.5,1.22,6.5,13.0,1.23,6.78,14.85,1.22,6.0,15.0,1.18,6.5,13.0,1.24,7.0,16.0,1.22,6.63,13.92,1.57,2.37,1.58,2.5,1.65,2.5,1.56,2.43,-1.75,1.84,2.06,1.84,2.07,1.88,2.07,1.83,2.04,1.16,7.5,17.0,1.16,8.0,17.5,1.22,6.5,14.0,1.19,7.63,16.65,1.24,5.8,12.0,1.15,8.0,19.0,1.29,8.5,21.0,1.18,7.66,16.46,1.44,2.75,1.47,2.8,1.5,3.0,1.44,2.81,-2.0,1.8,2.0,1.88,2.02,2.05,2.19,1.84,2.03,2122,SP1,,,,,,,,,,,,,,,,,,,0.38667768,0.08153808,0.53178424,1.2,6.5,15.0,0.464013216,0.52999752,7.9767636,7.9767636
D1,24/09/2021,19:30,Greuther Furth,Bayern Munich,1,3,A,0,2,A,,18,13,23.0,13.0,1.07,21.0,13.0,1.08,17.0,9.5,1.12,22.47,13.33,1.11,23.0,10.0,1.08,23.0,13.0,1.07,29.0,13.74,1.13,22.54,12.09,1.1,1.14,5.5,1.16,4.92,1.21,6.0,1.15,5.34,2.75,2.02,1.77,2.06,1.82,2.13,1.88,2.04,1.83,23.0,13.0,1.07,16.5,12.5,1.1,17.0,9.5,1.12,19.69,11.45,1.12,21.0,11.0,1.08,21.0,11.0,1.1,27.0,15.1,1.13,20.59,10.97,1.11,1.22,4.33,1.16,4.92,1.25,5.0,1.21,4.37,2.75,1.77,2.02,1.83,2.07,1.95,2.13,1.84,2.03,2122,D1,,,,,,,,,,,,,,,,,,,0.3320769,0.1268027,0.5411204,23.0,13.0,1.07,7.6377687,1.6484351,0.578998828,7.6377687
F1,31/01/2021,14:00,Lorient,Paris SG,3,2,H,1,1,D,,15,9,13.0,8.5,1.14,14.0,8.25,1.17,13.0,8.25,1.17,13.76,8.65,1.19,17.0,8.0,1.14,18.0,8.5,1.12,19.0,9.2,1.19,15.0,8.16,1.16,1.33,3.4,1.34,3.43,1.38,3.43,1.35,3.15,2.25,1.96,1.97,1.97,1.93,1.98,1.98,1.91,1.93,13.0,8.5,1.14,14.0,8.0,1.17,13.0,8.25,1.17,15.24,9.6,1.16,15.0,8.5,1.14,18.0,8.0,1.14,19.0,9.91,1.19,14.85,8.64,1.15,1.25,4.0,1.28,3.81,1.33,4.03,1.28,3.65,2.25,2.06,1.87,2.02,1.87,2.12,1.99,1.99,1.85,2021,F1,,,,,,,,,,,,,,,,,,,0.5714899,0.107961275,0.32054886,13.0,8.5,1.14,7.429368699999999,0.9176708375,0.3654257003999999,7.429368699999999
D1,03/10/2021,16:30,Bayern Munich,Ein Frankfurt,1,2,A,1,1,D,,6,8,1.16,8.0,15.0,1.18,8.0,13.0,1.17,8.0,14.0,1.19,8.14,14.45,1.14,8.5,15.0,1.14,8.5,15.0,1.2,9.8,17.25,1.17,8.35,14.57,1.2,4.5,1.18,4.75,1.21,5.25,1.19,4.67,-2.5,2.02,1.91,2.05,1.85,2.06,1.92,2.02,1.86,1.09,11.0,21.0,1.1,11.0,20.0,1.15,8.5,16.0,1.11,11.1,24.82,1.08,10.0,26.0,1.07,13.0,26.0,1.15,13.25,29.0,1.1,11.06,24.32,1.2,4.5,1.18,4.75,1.21,5.4,1.18,4.75,-2.75,1.83,1.98,1.84,2.06,1.9,2.18,1.83,2.04,2122,D1,,,,,,,,,,,,,,,,,,,0.36921,0.13862099,0.49216905,1.16,8.0,15.0,0.4282835999999999,1.10896792,7.38253575,7.38253575
