Date,HomeTeam,AwayTeam,B365H,B365D,B365A
2026-03-14 15:00:00,Burnley,Bournemouth,3.95,3.95,1.82
2026-03-14 15:00:00,Sunderland,Brighton and Hove Albion,3.45,3.25,2.1
2026-03-14 17:30:00,Arsenal,Everton,1.4,4.65,9.0
2026-03-14 17:30:00,Chelsea,Newcastle United,1.8,4.0,3.8
2026-03-14 20:00:00,West Ham United,Manchester City,4.5,4.0,1.66
2026-03-15 14:00:00,Manchester United,Aston Villa,1.72,3.9,4.3
2026-03-15 14:00:00,Crystal Palace,Leeds United,2.45,3.35,2.85
2026-03-15 14:00:00,Nottingham Forest,Fulham,2.32,3.4,3.15
2026-03-15 16:30:00,Liverpool,Tottenham Hotspur,1.26,6.0,8.5
2026-03-13 20:00:00,Alavés,Villarreal,3.36,3.42,2.28
2026-03-14 13:00:00,Girona,Athletic Bilbao,2.76,3.31,2.71
2026-03-14 15:15:00,Atlético Madrid,Getafe,1.57,3.66,7.78
2026-03-14 17:30:00,Oviedo,Valencia,3.0,3.15,2.61
2026-03-14 20:00:00,Real Madrid,Elche CF,1.33,5.94,8.35
2026-03-15 13:00:00,Mallorca,Espanyol,2.41,3.17,3.31
2026-03-15 15:15:00,Barcelona,Sevilla,1.26,6.58,10.02
2026-03-13 19:30:00,Borussia Monchengladbach,FC St. Pauli,1.9,3.4,3.95
2026-03-14 14:30:00,Eintracht Frankfurt,1. FC Heidenheim,1.56,4.78,5.99
2026-03-14 14:30:00,Borussia Dortmund,Augsburg,1.47,5.12,7.27
2026-03-14 14:30:00,Bayer Leverkusen,Bayern Munich,5.2,4.85,1.51
2026-03-14 14:30:00,TSG Hoffenheim,VfL Wolfsburg,1.49,5.13,6.6
2026-03-14 17:30:00,Hamburger SV,1. FC Köln,2.2,3.67,3.45
2026-03-15 14:30:00,Werder Bremen,FSV Mainz 05,2.15,3.5,3.0
2026-03-15 16:30:00,SC Freiburg,Union Berlin,2.1,3.3,3.3
2026-03-13 19:45:00,Torino,Parma,2.3,3.06,3.94
2026-03-14 14:00:00,Inter Milan,Atalanta BC,1.52,4.45,5.9
2026-03-14 17:00:00,Napoli,Lecce,1.35,4.7,10.5
2026-03-14 19:45:00,Udinese,Juventus,5.9,4.15,1.58
2026-03-15 11:30:00,Hellas Verona,Genoa,3.1,3.05,2.35
2026-03-15 14:00:00,Sassuolo,Bologna,2.4,3.3,2.8
2026-03-15 14:00:00,Pisa,Cagliari,2.4,2.9,2.8
2026-03-13 19:45:00,Marseille,Auxerre,1.43,4.89,7.72
2026-03-14 16:00:00,Lorient,RC Lens,4.38,3.73,1.85
2026-03-14 18:00:00,Angers,Nice,3.11,3.15,2.53
2026-03-14 20:05:00,AS Monaco,Brest,1.66,4.23,5.02
2026-03-15 14:00:00,Strasbourg,Paris FC,1.79,3.9,4.54
2026-03-15 16:15:00,Le Havre,Lyon,3.82,3.46,2.07
2026-03-15 16:15:00,Metz,Toulouse,3.9,3.35,1.97
